Date,LGR,Volume,Volatility
2025-01-03,0.0002504669463616821,14.503695446694405,0.12911767838830338
2025-01-06,-0.016416481918772874,14.91764995240854,0.26517183935273214
2025-01-07,0.001018099241377687,14.492985569129925,0.31933396834193295
2025-01-08,0.011633902941797907,14.750937028146906,0.3182748755344581
2025-01-10,-0.026756581588349558,15.262052999429521,0.46792754821626625
2025-01-13,0.011299474699183548,14.851821820435005,0.3712988650038618
2025-01-14,0.00025526333090889787,14.985512842719057,0.3723521537004287
2025-01-15,0.0012757333987003393,14.719080725429048,0.3695017299029154
2025-01-16,0.02169070703930166,14.87385625340383,0.4905319258855055
2025-01-17,-0.00475189957096807,15.222318078206536,0.4400713432686235
2025-01-21,0.009729457722678204,14.68088687103688,0.5006756242866074
2025-01-22,-0.021581837950868897,14.622745064561988,0.4411711173475125
2025-01-23,-0.010198858546496447,15.405867582585582,0.5070374828812143
2025-01-24,0.004857395126998138,15.088216199971301,0.5095504803571128
2025-01-27,0.04170921238297809,15.516159350451758,0.7807069122034893
2025-01-28,-0.017022761042007974,15.358466729097541,0.7669878306476386
2025-01-29,-0.013023048610883695,15.427864215479271,0.7489058298978297
2025-01-30,0.001259664183313602,15.324553384343218,0.6257823214532652
2025-01-31,0.0020120324327809113,15.338082537376712,0.500675741130472
2025-02-03,0.005012585416215056,15.217506009310249,0.21365381745387618
2025-02-04,-0.0012507445044651882,15.298114599221574,0.14155927855054914
2025-02-05,0.0067356838418299635,15.57467796259167,0.19164989429989734
2025-02-06,-0.00224019067784786,15.490530197207644,0.16091282675701613
2025-02-07,0.011394301120325082,15.213066271361182,0.2509725181270186
2025-02-10,-0.007498141486943506,14.844808494904768,0.2326028516050628
2025-02-11,0.014446030096509833,15.04529729718319,0.30327512144713525
2025-02-12,-0.010939906079604458,15.068073506456974,0.28300946584687664
2025-02-13,0.006478924407027711,14.84330688575597,0.22512132620471095
2025-02-14,-0.006478924407027769,14.929569595621409,0.23349426903117684
2025-02-18,0.015627282174530577,15.071696233737145,0.2758261770704847
2025-02-19,0.0007380681589572637,14.629990023691745,0.323882982199115
2025-02-20,0.017552893682327167,15.314821055552867,0.5214218210680238
2025-02-21,0.02175297500343598,15.879673473604964,0.8747403234061516
2025-02-24,0.013854868538762785,15.761934860534298,0.9977827915509835
